customer_id,sales,quantity,discount,profit,shipping_cost,product_category_Electronic,product_category_Fashion,product_category_Home & Furniture
64256,67.0,3.0,0.2,22.3,2.2,False,False,True
64256,216.0,2.0,0.1,131.7,13.2,False,False,True
26941,122.0,5.0,0.5,35.9,3.6,False,True,False
23937,231.0,5.0,0.3,93.3,9.3,False,False,False
79290,159.0,1.0,0.2,75.8,7.6,False,True,False
65219,85.0,5.0,0.1,0.8,0.1,False,True,False
83724,218.0,4.0,0.3,111.8,11.2,False,True,False
66034,159.0,5.0,0.4,47.2,4.7,False,True,False
48342,250.0,1.0,0.1,165.0,16.5,False,False,False
48342,196.0,1.0,0.4,100.3,10.0,False,True,False
25536,72.0,1.0,0.3,24.0,2.4,False,False,False
85572,224.0,3.0,0.2,130.6,13.1,False,True,False
78963,218.0,5.0,0.4,94.4,9.4,False,True,False
22057,196.0,1.0,0.1,114.0,11.4,False,True,False
44583,122.0,3.0,0.5,38.3,3.8,False,True,False
21804,231.0,3.0,0.1,144.1,14.4,False,False,False
36000,149.0,1.0,0.2,66.0,6.6,True,False,False
36000,211.0,4.0,0.3,88.8,8.9,False,False,False
10805,211.0,1.0,0.2,118.3,11.8,False,False,False
20532,122.0,4.0,0.5,37.1,3.7,False,True,False
30609,231.0,2.0,0.2,141.8,14.2,False,False,False
90505,216.0,3.0,0.3,116.6,11.7,False,False,True
15061,83.0,3.0,0.2,27.7,2.8,True,False,False
15061,196.0,1.0,0.5,86.6,8.7,False,True,False
15061,117.0,3.0,0.1,33.5,3.3,False,False,False
15061,62.0,1.0,0.3,15.5,1.6,False,True,False
24990,118.0,1.0,0.3,26.2,2.6,False,False,False
23986,122.0,1.0,0.3,27.4,2.7,False,True,False
55324,118.0,1.0,0.1,35.6,3.6,False,False,False
17154,213.0,1.0,0.1,126.6,12.7,False,True,False
11195,109.0,3.0,0.5,12.7,1.3,False,True,False
11195,122.0,1.0,0.4,37.1,3.7,False,True,False
77354,133.0,4.0,0.2,47.7,4.8,False,False,True
77354,78.0,1.0,0.3,78.0,7.8,False,False,True
52869,228.0,1.0,0.4,138.9,13.9,False,True,False
66365,124.0,3.0,0.3,25.4,2.5,False,False,True
61736,196.0,4.0,0.2,100.3,10.0,False,True,False
84124,67.0,3.0,0.5,22.3,2.2,False,False,True
23092,196.0,1.0,0.5,114.0,11.4,False,True,False
56567,250.0,1.0,0.3,160.0,16.0,False,False,False
29696,85.0,1.0,0.5,28.3,2.8,False,True,False
66866,228.0,2.0,0.4,129.8,13.0,False,True,False
66866,122.0,3.0,0.3,31.0,3.1,False,True,False
31437,231.0,3.0,0.2,116.4,11.6,False,False,False
31975,228.0,4.0,0.5,102.4,10.2,False,True,False
31975,196.0,5.0,0.4,96.4,9.6,False,True,False
30349,224.0,1.0,0.1,137.3,13.7,False,True,False
30349,211.0,1.0,0.2,78.3,7.8,False,False,False
51594,117.0,5.0,0.1,31.2,3.1,False,False,False
12755,54.0,4.0,0.2,13.5,1.4,False,False,False
12755,211.0,1.0,0.1,124.7,12.5,False,False,False
14189,65.0,2.0,0.2,32.5,3.3,True,False,False
12904,224.0,1.0,0.3,137.3,13.7,False,True,False
68152,124.0,4.0,0.3,19.2,1.9,False,False,True
